Favored,Short_Name
Connecticut,UCONN
New Mexico,UNM
Oregon State,ORST
Rutgers,RUTG
Bowling Green,BGSU
Kansas,KU
UMass,MASS
UNLV,UNLV
UT San Antonio,UTSA
UTEP,UTEP
East Carolina,ECU
Georgia State,GAST
Old Dominion,ODU
Rice,RICE
San Jose St,SJSU
South Alabama,USA
Texas State,TXST
Akron,AKR
Colorado State,CSU
Kent State,KENT
Arizona,ARIZ
Arkansas,ARK
Charlotte,CLT
Colorado,COLO
Illinois,ILL
Miami (OH),M-OH
UCLA,UCLA
Central Michigan,CMU
UL Monroe,ULM
Vanderbilt,VAN
Coastal Carolina,CCU
Kansas State,KSU
Liberty,LIB
Maryland,MD
Ball State,BALL
California,CAL
Louisville,LOU
Middle Tennessee,MTSU
Northwestern,NW
Texas Tech,TTU
Tulsa,TLSA
Western Kentucky,WKU
Eastern Michigan,EMU
South Florida,USF
Syracuse,SYR
Arizona State,ASU
Georgia Tech,GT
Indiana,IU
Nevada,NEV
Northern Illinois,NIU
Tennessee,TENN
Wyoming,WYO
Florida State,FSU
Hawai'i,HAW
Houston,HOU
Minnesota,MINN
Nebraska,NEB
Ole Miss,MISS
South Carolina,SC
Boston College,BC
Buffalo,BUFF
Duke,DUKE
Kentucky,UK
Temple,TEM
Wake Forest,WAKE
West Virginia,WVU
Baylor,BAY
Navy,NAVY
Purdue,PUR
Toledo,TOL
Utah State,USU
Air Force,AFA
Michigan State,MSU
North Carolina,UNC
Pittsburgh,PITT
Southern Mississippi,USM
Stanford,STAN
Virginia,UVA
Western Michigan,WMU
Army,ARMY
Florida International,FIU
Louisiana Tech,LT
NC State,NCST
North Texas,UNT
Washington State,WSU
Arkansas State,ARST
Cincinnati,CIN
Fresno State,FRES
Georgia Southern,GASO
Mississippi State,MSST
Oregon,ORE
San Diego State,SDSU
TCU,TCU
Troy,TROY
Tulane,TULN
USC,USC
Virginia Tech,VT
Iowa,IOWA
SMU,SMU
BYU,BYU
Florida,FLA
Florida Atlantic,FAU
Iowa State,ISU
Missouri,MIZ
Ohio,OHIO
Louisiana,UL
Marshall,MRSH
Utah,UTAH
Washington,WASH
Oklahoma State,OKST
Texas,TEX
Ucf,UCF
LSU,LSU
Texas A&M,TA&M
UAB,UAB
Wisconsin,WISC
Auburn,AUB
Memphis,MEM
Penn State,PSU
Michigan,MICH
Appalachian State,APP
Boise State,BSU
Miami,MIAMI
Notre Dame,ND
Ohio State,OSU
Georgia,UGA
Oklahoma,OU
Alabama,ALA
Clemson,CLEM
New Mexico State,NMSU
EVEN,EVEN
Northern Carolina A&T,NCAT
North Dakota State,NDSU
James Madison,JMU
