"Team","FBS"
"Boston College",1
"UMass",1
"Arizona",1
"Maryland",1
"Michigan State",1
"Michigan",1
"Minnesota",1
"Missouri",1
"Ole Miss",1
"Duke",1
"East Carolina",1
"NC State",1
"North Carolina",1
"Wake Forest",1
"Nebraska",1
"Rutgers",1
"New Mexico",1
"Syracuse",1
"Bowling Green",1
"Miami (OH)",1
"Ohio State",1
"Ohio",1
"Oklahoma State",1
"Auburn",1
"Abilene Christian",0
"Air Force",1
"Akron",1
"Oklahoma",1
"Tulsa",1
"Appalachian State",1
"Arkansas State",1
"Oregon State",1
"Austin Peay",0
"Ball State",1
"Buffalo",1
"Campbell",0
"San Diego State",1
"Central Arkansas",0
"UCF",1
"Central Michigan",1
"Penn State",1
"Cincinnati",1
"Temple",1
"Eastern Kentucky",0
"Eastern Michigan",1
"Pittsburgh",1
"Florida Atlantic",1
"Florida International",1
"Gardner-Webb",0
"Georgia State",1
"Houston Baptist",0
"Clemson",1
"Iowa",1
"San Jose St",1
"Kansas",1
"Kansas State",1
"Kent State",1
"Liberty",1
"Louisiana Tech",1
"Memphis",1
"Chattanooga",0
"Vanderbilt",1
"Mercer",0
"Baylor",1
"Miami",1
"Middle Tennessee",1
"Stanford",1
"Rice",1
"Navy",1
"Charlotte",1
"UL Monroe",1
"UNLV",1
"Nevada",1
"North Dakota State",0
"Texas A&M",1
"North Alabama",0
"Northern Illinois",1
"Houston",1
"Oregon",1
"North Texas",1
"California",1
"Purdue",1
"Texas",1
"BYU",1
"Utah",1
"SMU",1
"Southern Mississippi",1
"South Carolina",1
"Virginia",1
"Virginia Tech",1
"UCLA",1
"Stephen F. Austin",0
"Missouri State",0
"TCU",1
"Tennessee",1
"UT San Antonio",1
"UTEP",1
"Washington",1
"Texas Tech",1
"The Citadel",0
"Toledo",1
"Washington State",1
"Troy",1
"Tulane",1
"Western Michigan",1
"Western Carolina",0
"Wisconsin",1
"Wyoming",1
"Marshall",1
"West Virginia",1
"Fresno State",1
"Georgia Southern",1
"Incarnate Word",0
"USC",1
"Louisiana",1
"Coastal Carolina",1
"Texas State",1
"Utah State",1
"Alabama",1
"Mississippi State",1
"Army",1
"Illinois",1
"Colorado State",1
"Colorado",1
"UAB",1
"Florida State",1
"Jacksonville State",0
"Florida",1
"South Florida",1
"Georgia Tech",1
"South Alabama",1
"Georgia",1
"Hawai'i",1
"Iowa State",1
"Boise State",1
"Northwestern",1
"Arkansas",1
"Indiana",1
"Notre Dame",1
"Arizona State",1
"Kentucky",1
"Louisville",1
"Western Kentucky",1
"LSU",1
"Angelo State",0
"Arizona Christian",0
"Missouri Western",0
"Pittsburg State",0
"West Texas A&M",0
"Western Colorado",0
